SQL,,,,
model,recall,precision,specificity,F1
gbm,0.2000,0.0667,0.9367,0.1000
gbm,0.7500,0.2000,0.9459,0.3158
gbm,0.4000,0.1333,0.9412,0.2000
glm,0.1818,0.1333,0.9395,0.1538
glm,0.3333,0.2000,0.9447,0.2500
glm,0.6667,0.1333,0.9417,0.2222
nnet,0.2500,0.2000,0.9439,0.2222
nnet,0.1538,0.2667,0.9450,0.1951
nnet,0.5000,0.2000,0.9455,0.2857
treebag,NaN,0.0000,0.9336,0.0000
treebag,NaN,0.0000,0.9336,0.0000
treebag,0.3333,0.0667,0.9372,0.1111
fda,0.1818,0.1333,0.9395,0.1538
fda,0.2000,0.1333,0.9398,0.1600
fda,0.3571,0.3333,0.9528,0.3448
bagFDAGCV,0.5000,0.2000,0.9455,0.2857
bagFDAGCV,0.5000,0.1333,0.9414,0.2105
bagFDAGCV,0.4545,0.3333,0.9535,0.3846
bagFDA,0.5000,0.3333,0.9537,0.4000
bagFDA,0.3333,0.0667,0.9372,0.1111
bagFDA,0.7500,0.2000,0.9459,0.3158
,,,,
JEDIT,,,,
model,recall,precision,specificity,F1
gbm,NaN,0.0000,0.9143,0.0000
gbm,0.0000,0.0000,0.9130,0.0000
gbm,0.6667,0.3333,0.9403,0.4444
glm,0.4444,0.6667,0.9672,0.5333
glm,0.2000,0.1667,0.9231,0.1818
glm,0.2857,0.3333,0.9365,0.3077
nnet,0.5000,0.1667,0.9265,0.2500
nnet,0.2000,0.1667,0.9231,0.1818
nnet,0.2857,0.6667,0.9643,0.4000
treebag,1.0000,0.1667,0.9275,0.2857
treebag,0.5000,0.5000,0.9531,0.5000
treebag,0.5000,0.1667,0.9265,0.2500
fda,0.7500,0.5000,0.9545,0.6000
fda,1.0000,0.5000,0.9552,0.6667
fda,0.5714,0.6667,0.9683,0.6154
bagFDAGCV,1.0000,0.3333,0.9412,0.5000
bagFDAGCV,0.5000,0.6667,0.9677,0.5714
bagFDAGCV,0.5000,0.1667,0.9265,0.2500
bagFDA,0.2857,0.3333,0.9365,0.3077
bagFDA,0.0000,0.0000,0.9130,0.0000
bagFDA,0.3333,0.3333,0.9375,0.3333
,,,,
HIBERNATE,,,,
model,recall,precision,specificity,F1
gbm,0.4375,0.2593,0.7647,0.3256
gbm,0.6364,0.2593,0.7778,0.3684
gbm,0.7273,0.2963,0.7889,0.4211
glm,0.4231,0.4074,0.7867,0.4151
glm,0.3500,0.2593,0.7531,0.2979
glm,0.5455,0.4444,0.8101,0.4898
nnet,0.5455,0.4444,0.8101,0.4898
nnet,0.5238,0.4074,0.8000,0.4583
nnet,0.4737,0.3333,0.7805,0.3913
treebag,0.5000,0.2593,0.7701,0.3415
treebag,0.6875,0.4074,0.8118,0.5116
treebag,0.5000,0.2593,0.7701,0.3415
fda,0.5455,0.2222,0.7667,0.3158
fda,0.5000,0.1852,0.7582,0.2703
fda,0.4375,0.2593,0.7647,0.3256
bagFDAGCV,0.5333,0.2963,0.7791,0.3810
bagFDAGCV,0.3889,0.2593,0.7590,0.3111
bagFDAGCV,0.3333,0.2593,0.7500,0.2917
bagFDA,0.5000,0.1852,0.7582,0.2703
bagFDA,0.4211,0.2963,0.7683,0.3478
bagFDA,0.2857,0.1481,0.7356,0.1951
,,,,
COLUMBA,,,,
model,recall,precision,specificity,F1
gbm,1.0000,0.2000,0.9602,0.3333
gbm,0.2500,0.1000,0.9548,0.1429
gbm,1.0000,0.1000,0.9554,0.1818
glm,0.2500,0.1000,0.9548,0.1429
glm,0.0000,0.0000,0.9495,0.0000
glm,0.1667,0.1000,0.9543,0.1250
nnet,0.1667,0.2000,0.9581,0.1818
nnet,0.1667,0.1000,0.9543,0.1250
nnet,NaN,0.0000,0.9507,0.0000
treebag,0.5000,0.1000,0.9552,0.1667
treebag,0.0000,0.0000,0.9502,0.0000
treebag,0.0000,0.0000,0.9502,0.0000
fda,0.2222,0.2000,0.9588,0.2105
fda,NaN,0.0000,0.9507,0.0000
fda,0.2000,0.1000,0.9545,0.1333
bagFDAGCV,0.0000,0.0000,0.9497,0.0000
bagFDAGCV,0.2000,0.1000,0.9545,0.1333
bagFDAGCV,0.0000,0.0000,0.9492,0.0000
bagFDA,0.3333,0.1000,0.9550,0.1538
bagFDA,1.0000,0.1000,0.9554,0.1818
bagFDA,NaN,0.0000,0.9507,0.0000
,,,,
JMETER,,,,
model,recall,precision,specificity,F1
gbm,0.5000,0.2083,0.8766,0.2941
gbm,0.7692,0.4167,0.9073,0.5405
gbm,0.4167,0.2083,0.8750,0.2778
glm,0.6111,0.4583,0.9110,0.5238
glm,0.4444,0.3333,0.8904,0.3810
glm,0.4286,0.2500,0.8800,0.3158
nnet,0.3500,0.2917,0.8819,0.3182
nnet,0.5000,0.3750,0.8973,0.4286
nnet,0.3571,0.4167,0.8971,0.3846
treebag,0.7778,0.2917,0.8903,0.4242
treebag,0.5500,0.4583,0.9097,0.5000
treebag,0.4444,0.1667,0.8710,0.2424
fda,0.4167,0.4167,0.9000,0.4167
fda,0.5385,0.2917,0.8874,0.3784
fda,0.6000,0.2500,0.8831,0.3529
bagFDAGCV,0.5455,0.2500,0.8824,0.3429
bagFDAGCV,0.7692,0.4167,0.9073,0.5405
bagFDAGCV,0.6250,0.4167,0.9054,0.5000
bagFDA,0.5000,0.3333,0.8919,0.4000
bagFDA,0.7143,0.2083,0.8790,0.3226
bagFDA,0.7778,0.2917,0.8903,0.4242
,,,,
ANT,,,,
model,recall,precision,specificity,F1
gbm,0.0000,0.0000,0.9370,0.0000
gbm,0.3333,0.1250,0.9440,0.1818
gbm,NaN,0.0000,0.9375,0.0000
glm,0.5000,0.2500,0.9516,0.3333
glm,0.1250,0.2500,0.9464,0.1667
glm,0.1250,0.2500,0.9464,0.1667
nnet,0.0000,0.0000,0.9365,0.0000
nnet,0.1250,0.1250,0.9417,0.1250
nnet,0.0000,0.0000,0.9355,0.0000
treebag,0.0000,0.0000,0.9355,0.0000
treebag,0.0000,0.0000,0.9344,0.0000
treebag,0.0000,0.0000,0.9344,0.0000
fda,0.6000,0.3750,0.9593,0.4615
fda,0.0000,0.0000,0.9360,0.0000
fda,0.1250,0.1250,0.9417,0.1250
bagFDAGCV,0.0000,0.0000,0.9370,0.0000
bagFDAGCV,0.0000,0.0000,0.9370,0.0000
bagFDAGCV,0.0000,0.0000,0.9370,0.0000
bagFDA,0.0000,0.0000,0.9360,0.0000
bagFDA,0.0000,0.0000,0.9370,0.0000
bagFDA,NaN,0.0000,0.9375,0.0000
,,,,
ARGOUML,,,,
model,recall,precision,specificity,F1
gbm,0.7826,0.3396,0.8594,0.4737
gbm,0.5714,0.3774,0.8608,0.4545
gbm,0.5789,0.4151,0.8675,0.4835
glm,0.5610,0.4340,0.8701,0.4894
glm,0.6471,0.4151,0.8697,0.5057
glm,0.5862,0.3208,0.8519,0.4146
nnet,0.4217,0.6604,0.9048,0.5147
nnet,0.5263,0.5660,0.8930,0.5455
nnet,NaN,0.0000,0.8051,0.0000
treebag,0.6341,0.4906,0.8831,0.5532
treebag,0.5135,0.3585,0.8553,0.4222
treebag,0.3871,0.2264,0.8299,0.2857
fda,0.6970,0.4340,0.8745,0.5349
fda,0.6591,0.5472,0.8947,0.5979
fda,0.4130,0.3585,0.8496,0.3838
bagFDAGCV,0.6136,0.5094,0.8860,0.5567
bagFDAGCV,0.6071,0.3208,0.8525,0.4198
bagFDAGCV,0.6389,0.4340,0.8729,0.5169
bagFDA,0.4722,0.3208,0.8475,0.3820
bagFDA,0.6571,0.4340,0.8734,0.5227
bagFDA,0.5909,0.4906,0.8816,0.5361
,,,,
JRUBY,,,,
model,recall,precision,specificity,F1
gbm,0.5833,0.2800,0.7600,0.3784
gbm,0.4815,0.5200,0.8000,0.5000
gbm,0.6667,0.3200,0.7733,0.4324
glm,0.2973,0.4400,0.7200,0.3548
glm,0.2444,0.4400,0.6667,0.3143
glm,0.4483,0.5200,0.7931,0.4815
nnet,0.3704,0.4000,0.7500,0.3846
nnet,0.4815,0.5200,0.8000,0.5000
nnet,0.3571,0.4000,0.7458,0.3774
treebag,0.3636,0.3200,0.7385,0.3404
treebag,0.6667,0.4800,0.8116,0.5581
treebag,0.7000,0.5600,0.8358,0.6222
fda,0.5000,0.2000,0.7403,0.2857
fda,0.5000,0.4400,0.7846,0.4681
fda,0.5000,0.2000,0.7403,0.2857
bagFDAGCV,0.6923,0.3600,0.7838,0.4737
bagFDAGCV,0.6000,0.3600,0.7778,0.4500
bagFDAGCV,0.7692,0.4000,0.7973,0.5263
bagFDA,0.7500,0.3600,0.7867,0.4865
bagFDA,0.8571,0.4800,0.8219,0.6154
bagFDA,0.7143,0.2000,0.7500,0.3125
,,,,
JFREECHART,,,,
model,recall,precision,specificity,F1
gbm,0.5000,0.2222,0.9375,0.3077
gbm,0.4000,0.2222,0.9369,0.2857
gbm,0.0000,0.0000,0.9196,0.0000
glm,0.2500,0.1111,0.9286,0.1538
glm,0.1429,0.3333,0.9368,0.2000
glm,0.0690,0.6667,0.8966,0.1250
nnet,0.5000,0.3333,0.9455,0.4000
nnet,NaN,0.0000,0.9224,0.0000
nnet,0.3571,0.5556,0.9608,0.4348
treebag,0.4000,0.2222,0.9369,0.2857
treebag,0.0000,0.0000,0.9211,0.0000
treebag,0.6667,0.4444,0.9545,0.5333
fda,0.2857,0.2222,0.9358,0.2500
fda,0.3636,0.4444,0.9524,0.4000
fda,0.2000,0.1111,0.9279,0.1429
bagFDAGCV,0.0000,0.0000,0.9217,0.0000
bagFDAGCV,0.6667,0.2222,0.9381,0.3333
bagFDAGCV,0.3000,0.3333,0.9434,0.3158
bagFDA,0.5000,0.3333,0.9455,0.4000
bagFDA,0.0000,0.0000,0.9211,0.0000
bagFDA,0.5000,0.1111,0.9298,0.1818